"","Barcodes","Genotype"
"1","Ea001AA108504","G15"
"2","Ea001AA108505","G15"
"3","Ea001AA108506","G15"
"4","Ea001AA108507","G15"
"5","Ea001AA108508","G15"
"6","Ea001AA108509","G15"
"7","Ea001AA108510","G15"
"8","Ea001AA108511","G15"
"9","Ea001AA108512","G15"
"10","Ea001AA108513","G15"
"11","Ea001AA108514","G15"
"12","Ea001AA108515","G15"
"13","Ea001AA108516","G15"
"14","Ea001AA108517","G15"
"15","Ea001AA108518","G15"
"16","Ea001AA108519","G15"
"17","Ea001AA108520","G15"
"18","Ea001AA108521","G15"
"19","Ea001AA108522","G15"
"20","Ea001AA108523","G15"
"21","Ea001AA108524","G15"
"22","Ea001AA108525","G15"
"23","Ea001AA108526","G15"
"24","Ea001AA108527","G15"
"25","Ea001AA108528","G15"
"26","Ea001AA108529","G15"
"27","Ea001AA108530","G15"
"28","Ea001AA108531","G15"
"29","Ea001AA108532","G15"
"30","Ea001AA108533","G15"
"31","Ea002AA108534","G7"
"32","Ea002AA108535","G7"
"33","Ea002AA108536","G7"
"34","Ea002AA108537","G7"
"35","Ea002AA108538","G7"
"36","Ea002AA108539","G7"
"37","Ea002AA108540","G7"
"38","Ea002AA108541","G7"
"39","Ea002AA108542","G7"
"40","Ea002AA108543","G7"
"41","Ea002AA108544","G7"
"42","Ea002AA108545","G7"
"43","Ea002AA108546","G7"
"44","Ea002AA108547","G7"
"45","Ea002AA108548","G7"
"46","Ea002AA108549","G7"
"47","Ea002AA108550","G7"
"48","Ea002AA108551","G7"
"49","Ea002AA108552","G7"
"50","Ea002AA108553","G7"
"51","Ea002AA108554","G7"
"52","Ea002AA108555","G7"
"53","Ea002AA108556","G7"
"54","Ea002AA108557","G7"
"55","Ea002AA108558","G7"
"56","Ea002AA108559","G7"
"57","Ea002AA108560","G7"
"58","Ea002AA108561","G7"
"59","Ea002AA108562","G7"
"60","Ea002AA108563","G7"
"61","Ea003AA108564","G8"
"62","Ea003AA108565","G8"
"63","Ea003AA108566","G8"
"64","Ea003AA108567","G8"
"65","Ea003AA108568","G8"
"66","Ea003AA108569","G8"
"67","Ea003AA108570","G8"
"68","Ea003AA108571","G8"
"69","Ea003AA108572","G8"
"70","Ea003AA108573","G8"
"71","Ea003AA108574","G8"
"72","Ea003AA108575","G8"
"73","Ea003AA108576","G8"
"74","Ea003AA108577","G8"
"75","Ea003AA108578","G8"
"76","Ea003AA108579","G8"
"77","Ea003AA108580","G8"
"78","Ea003AA108581","G8"
"79","Ea003AA108582","G8"
"80","Ea003AA108583","G8"
"81","Ea003AA108584","G8"
"82","Ea003AA108585","G8"
"83","Ea003AA108586","G8"
"84","Ea003AA108587","G8"
"85","Ea003AA108588","G8"
"86","Ea003AA108589","G8"
"87","Ea003AA108590","G8"
"88","Ea003AA108591","G8"
"89","Ea003AA108592","G8"
"90","Ea003AA108593","G8"
"91","Ea004AA108594","G12"
"92","Ea004AA108595","G12"
"93","Ea004AA108596","G12"
"94","Ea004AA108597","G12"
"95","Ea004AA108598","G12"
"96","Ea004AA108599","G12"
"97","Ea004AA108600","G12"
"98","Ea004AA108601","G12"
"99","Ea004AA108602","G12"
"100","Ea004AA108603","G12"
"101","Ea004AA108604","G12"
"102","Ea004AA108605","G12"
"103","Ea004AA108606","G12"
"104","Ea004AA108607","G12"
"105","Ea004AA108608","G12"
"106","Ea004AA108609","G12"
"107","Ea004AA108610","G12"
"108","Ea004AA108611","G12"
"109","Ea004AA108612","G12"
"110","Ea004AA108613","G12"
"111","Ea004AA108614","G12"
"112","Ea004AA108615","G12"
"113","Ea004AA108616","G12"
"114","Ea004AA108617","G12"
"115","Ea004AA108618","G12"
"116","Ea004AA108619","G12"
"117","Ea004AA108620","G12"
"118","Ea004AA108621","G12"
"119","Ea004AA108622","G12"
"120","Ea004AA108623","G12"
"121","Ea005AA108624","G13"
"122","Ea005AA108625","G13"
"123","Ea005AA108626","G13"
"124","Ea005AA108627","G13"
"125","Ea005AA108628","G13"
"126","Ea005AA108629","G13"
"127","Ea005AA108630","G13"
"128","Ea005AA108631","G13"
"129","Ea005AA108632","G13"
"130","Ea005AA108633","G13"
"131","Ea005AA108634","G13"
"132","Ea005AA108635","G13"
"133","Ea005AA108636","G13"
"134","Ea005AA108637","G13"
"135","Ea005AA108638","G13"
"136","Ea005AA108639","G13"
"137","Ea005AA108640","G13"
"138","Ea005AA108641","G13"
"139","Ea005AA108642","G13"
"140","Ea005AA108643","G13"
"141","Ea005AA108644","G13"
"142","Ea005AA108645","G13"
"143","Ea005AA108646","G13"
"144","Ea005AA108647","G13"
"145","Ea005AA108648","G13"
"146","Ea005AA108649","G13"
"147","Ea005AA108650","G13"
"148","Ea005AA108651","G13"
"149","Ea005AA108652","G13"
"150","Ea005AA108653","G13"
"151","Ea006AA108654","G14"
"152","Ea006AA108655","G14"
"153","Ea006AA108656","G14"
"154","Ea006AA108657","G14"
"155","Ea006AA108658","G14"
"156","Ea006AA108659","G14"
"157","Ea006AA108660","G14"
"158","Ea006AA108661","G14"
"159","Ea006AA108662","G14"
"160","Ea006AA108663","G14"
"161","Ea006AA108664","G14"
"162","Ea006AA108665","G14"
"163","Ea006AA108666","G14"
"164","Ea006AA108667","G14"
"165","Ea006AA108668","G14"
"166","Ea006AA108669","G14"
"167","Ea006AA108670","G14"
"168","Ea006AA108671","G14"
"169","Ea006AA108672","G14"
"170","Ea006AA108673","G14"
"171","Ea006AA108674","G14"
"172","Ea006AA108675","G14"
"173","Ea006AA108676","G14"
"174","Ea006AA108677","G14"
"175","Ea006AA108678","G14"
"176","Ea006AA108679","G14"
"177","Ea006AA108680","G14"
"178","Ea006AA108681","G14"
"179","Ea006AA108682","G14"
"180","Ea006AA108683","G14"
"181","Ea007AA108684","G1"
"182","Ea007AA108685","G1"
"183","Ea007AA108686","G1"
"184","Ea007AA108687","G1"
"185","Ea007AA108688","G1"
"186","Ea007AA108689","G1"
"187","Ea007AA108690","G1"
"188","Ea007AA108691","G1"
"189","Ea007AA108692","G1"
"190","Ea007AA108693","G1"
"191","Ea007AA108694","G1"
"192","Ea007AA108695","G1"
"193","Ea007AA108696","G1"
"194","Ea007AA108697","G1"
"195","Ea007AA108698","G1"
"196","Ea007AA108699","G1"
"197","Ea007AA108700","G1"
"198","Ea007AA108701","G1"
"199","Ea007AA108702","G1"
"200","Ea007AA108703","G1"
"201","Ea007AA108704","G1"
"202","Ea007AA108705","G1"
"203","Ea007AA108706","G1"
"204","Ea007AA108707","G1"
"205","Ea007AA108708","G1"
"206","Ea007AA108709","G1"
"207","Ea007AA108710","G1"
"208","Ea007AA108711","G1"
"209","Ea007AA108712","G1"
"210","Ea007AA108713","G1"
"211","Ea008AA108714","G2"
"212","Ea008AA108715","G2"
"213","Ea008AA108716","G2"
"214","Ea008AA108717","G2"
"215","Ea008AA108718","G2"
"216","Ea008AA108719","G2"
"217","Ea008AA108720","G2"
"218","Ea008AA108721","G2"
"219","Ea008AA108722","G2"
"220","Ea008AA108723","G2"
"221","Ea008AA108724","G2"
"222","Ea008AA108725","G2"
"223","Ea008AA108726","G2"
"224","Ea008AA108727","G2"
"225","Ea008AA108728","G2"
"226","Ea008AA108729","G2"
"227","Ea008AA108730","G2"
"228","Ea008AA108731","G2"
"229","Ea008AA108732","G2"
"230","Ea008AA108733","G2"
"231","Ea008AA108734","G2"
"232","Ea008AA108735","G2"
"233","Ea008AA108736","G2"
"234","Ea008AA108737","G2"
"235","Ea008AA108738","G2"
"236","Ea008AA108739","G2"
"237","Ea008AA108740","G2"
"238","Ea008AA108741","G2"
"239","Ea008AA108742","G2"
"240","Ea008AA108743","G2"
"241","Ea009AA108744","G3"
"242","Ea009AA108745","G3"
"243","Ea009AA108746","G3"
"244","Ea009AA108747","G3"
"245","Ea009AA108748","G3"
"246","Ea009AA108749","G3"
"247","Ea009AA108750","G3"
