"","X","meta","color_chip_size","median_color_chip_height","median_color_chip_width","num_mask_shapes","horizontal_reference_position","height_above_reference","height_below_reference","area_above_reference","percent_area_above_reference","area_below_reference","percent_area_below_reference","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","hue_circular_mean","hue_circular_std","hue_median"
"1",1,"/file/path/snapshot94/VIS_SV_0_z1_h1_g0_e65_v500_new_194_0.png",1296.5,37,37,6,1365,420,7,51104,99.8788257827463,62,0.121174217253645,TRUE,51166,166671.5,0.306987097374176,4383.38312590122,562,427,3924,13,TRUE,548.345397949219,411.103393554688,104.557754516602,0.661759558866339,40.675775074192,52.0879025626636,18
"2",2,"/file/path/snapshot94/VIS_SV_90_z1_h1_g0_e65_v500_new_195_0.png",1296.5,37,37,16,1365,373,0,32735,100,0,0,TRUE,32735,135977,0.240739242666039,6249.73334431648,510,373,3343,17,TRUE,493.73291015625,431.390167236328,65.6842956542969,0.486407915772408,31.5769006485959,55.7741616590051,26
"3",3,"/file/path/snapshot95/VIS_SV_0_z1_h1_g0_e65_v500_new_197_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"/file/path/snapshot95/VIS_SV_90_z1_h1_g0_e65_v500_new_198_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"/file/path/snapshot1403/VIS_SV_0_z1_h1_g0_e65_v500_new_1028_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"/file/path/snapshot1403/VIS_SV_90_z1_h1_g0_e65_v500_new_1029_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"/file/path/snapshot1404/VIS_SV_0_z1_h1_g0_e65_v500_new_1031_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"/file/path/snapshot1404/VIS_SV_90_z1_h1_g0_e65_v500_new_1032_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"/file/path/snapshot1405/VIS_SV_0_z1_h1_g0_e65_v500_new_1040_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"/file/path/snapshot1405/VIS_SV_90_z1_h1_g0_e65_v500_new_1041_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
