"","experiment","id","plant.barcode","car.tag","timestamp","weight.before","weight.after","water.amount","completed","measurement.label","tag","tiles"
"1","Experiment1",94,"Cc00AA000000",2169,"2022-03-03 09:46:38",-1,-1,-1,"True","exp1_E_030322",NA,"VIS_SV_0_z1_h1_g0_e65_v500_new_194_0;VIS_SV_90_z1_h1_g0_e65_v500_new_195_0;VIS_TV_z1_h0_g0_e100_196_0;NIR_SV_0_z1_h1_g0_e21500_v500_200_0;NIR_SV_90_z1_h1_g0_e21500_v500_201_0;NIR_TV_z1_h0_g0_e6000_202_0"
"2","Experiment1",95,"Cc00AB000000",2147,"2022-03-03 09:46:46",-1,-1,-1,"True","exp1_E_030322",NA,"VIS_SV_0_z1_h1_g0_e65_v500_new_197_0;VIS_SV_90_z1_h1_g0_e65_v500_new_198_0;VIS_TV_z1_h0_g0_e100_199_0;NIR_SV_0_z1_h1_g0_e21500_v500_203_0;NIR_SV_90_z1_h1_g0_e21500_v500_204_0;NIR_TV_z1_h0_g0_e6000_205_0"
"3","Experiment1",99,"Ea009AA108744",1437,"2022-03-03 16:21:40",952,989,40,"True","exp1_E_030322",NA,""
"4","Experiment1",101,"Ea010AA108803",1852,"2022-03-03 16:21:58",990,990,2,"True","exp1_E_030322",NA,""
"5","Experiment1",102,"Ea008AA108742",1448,"2022-03-03 16:22:00",924,991,68,"True","exp1_E_030322",NA,""
"6","Experiment1",104,"Ea007AA108686",2012,"2022-03-03 16:22:13",960,988,32,"True","exp1_E_030322",NA,""
"7","Experiment1",105,"Ea010AA108794",2087,"2022-03-03 16:22:15",847,990,145,"True","exp1_E_030322",NA,""
"8","Experiment1",106,"Ea015AA108952",2112,"2022-03-03 16:22:22",929,991,63,"True","exp1_E_030322",NA,""
"9","Experiment1",108,"Ea012AA108845",1807,"2022-03-03 16:22:32",829,991,163,"True","exp1_E_030322",NA,""
"10","Experiment1",109,"Ea013AA108887",1201,"2022-03-03 16:22:44",923,992,69,"True","exp1_E_030322",NA,""
"11","Experiment1",111,"Ea000ZA109093",2047,"2022-03-03 16:22:47",913,991,79,"True","exp1_E_030322",NA,""
"12","Experiment1",113,"Ea010AA108784",1637,"2022-03-03 16:23:04",915,991,77,"True","exp1_E_030322",NA,""
"13","Experiment1",114,"Ea011AA108830",1788,"2022-03-03 16:23:07",941,992,51,"True","exp1_E_030322",NA,""
"14","Experiment1",115,"Ea002AA108542",1694,"2022-03-03 16:23:12",945,992,47,"True","exp1_E_030322",NA,""
"15","Experiment1",117,"Ea004AA108599",1822,"2022-03-03 16:23:27",974,992,18,"True","exp1_E_030322",NA,""
"16","Experiment1",118,"Ea002AA108559",2057,"2022-03-03 16:23:27",945,991,47,"True","exp1_E_030322",NA,""
"17","Experiment1",119,"Ea004AA108618",1772,"2022-03-03 16:23:34",967,992,25,"True","exp1_E_030322",NA,""
"18","Experiment1",121,"Ea008AA108723",1942,"2022-03-03 16:23:44",968,992,24,"True","exp1_E_030322",NA,""
"19","Experiment1",122,"Ea010AA108802",1620,"2022-03-03 16:23:48",1005,1005,0,"True","exp1_E_030322",NA,""
"20","Experiment1",123,"Ea014AA108907",1214,"2022-03-03 16:23:53",893,991,99,"True","exp1_E_030322",NA,""
"21","Experiment1",124,"Ea004AA108595",1564,"2022-03-03 16:24:01",939,991,53,"True","exp1_E_030322",NA,""
"22","Experiment1",126,"Ea006AA108659",1685,"2022-03-03 16:24:02",938,991,54,"True","exp1_E_030322",NA,""
"23","Experiment1",127,"Ea012AA108856",2129,"2022-03-03 16:24:21",866,990,126,"True","exp1_E_030322",NA,""
"24","Experiment1",129,"Ea014AA108902",1894,"2022-03-03 16:24:23",937,992,55,"True","exp1_E_030322",NA,""
"25","Experiment1",130,"Ea015AA108947",1311,"2022-03-03 16:24:23",906,991,86,"True","exp1_E_030322",NA,""
"26","Experiment1",132,"Ea006AA108657",1186,"2022-03-03 16:24:43",908,990,84,"True","exp1_E_030322",NA,""
"27","Experiment1",133,"Ea013AA108876",2113,"2022-03-03 16:24:48",921,992,71,"True","exp1_E_030322",NA,""
"28","Experiment1",134,"Ea010AA108797",1538,"2022-03-03 16:24:50",938,991,54,"True","exp1_E_030322",NA,""
"29","Experiment1",136,"Ea005AA108627",1048,"2022-03-03 16:25:07",968,992,24,"True","exp1_E_030322",NA,""
"30","Experiment1",137,"Ea012AA108851",1725,"2022-03-03 16:25:11",839,991,153,"True","exp1_E_030322",NA,""
"31","Experiment1",138,"Ea002AA108539",1438,"2022-03-03 16:25:12",1038,1038,0,"True","exp1_E_030322",NA,""
"32","Experiment1",140,"Ea011AA108829",1173,"2022-03-03 16:25:25",867,991,125,"True","exp1_E_030322",NA,""
"33","Experiment1",141,"Ea004AA108615",1475,"2022-03-03 16:25:27",935,991,57,"True","exp1_E_030322",NA,""
"34","Experiment1",143,"Ea002AA108556",1336,"2022-03-03 16:25:41",926,991,66,"True","exp1_E_030322",NA,""
"35","Experiment1",144,"Ea014AA108914",1176,"2022-03-03 16:25:49",981,992,11,"True","exp1_E_030322",NA,""
"36","Experiment1",145,"Ea001AA108522",1979,"2022-03-03 16:25:53",941,991,51,"True","exp1_E_030322",NA,""
"37","Experiment1",147,"Ea010AA108783",2148,"2022-03-03 16:26:04",917,992,75,"True","exp1_E_030322",NA,""
"38","Experiment1",148,"Ea001AA108504",2088,"2022-03-03 16:26:07",931,991,61,"True","exp1_E_030322",NA,""
"39","Experiment1",149,"Ea007AA108709",1799,"2022-03-03 16:26:13",947,992,45,"True","exp1_E_030322",NA,""
"40","Experiment1",151,"Ea014AA108904",1870,"2022-03-03 16:26:27",885,991,107,"True","exp1_E_030322",NA,""
"41","Experiment1",152,"Ea011AA108811",1213,"2022-03-03 16:26:30",883,991,109,"True","exp1_E_030322",NA,""
"42","Experiment1",153,"Ea003AA108564",1645,"2022-03-03 16:26:33",885,990,107,"True","exp1_E_030322",NA,""
"43","Experiment1",155,"Ea009AA108750",1864,"2022-03-03 16:26:53",884,991,108,"True","exp1_E_030322",NA,""
