"","camera","imgtype","zoom","timestamp","gain","frame","lifter","exposure","genotype","plantbarcode","trial","cartag","measurementlabel","other","image","treatment","trait","value","label"
"1","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","in_bounds",1,"none"
"2","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","area",81965,"pixels"
"3","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","convex_hull_area",124117,"pixels"
"4","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","solidity",0.660384959,"none"
"5","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","perimeter",3902.668306,"pixels"
"6","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","width",413,"pixels"
"7","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","height",433,"pixels"
"8","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","longest_path",2968,"pixels"
"9","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","center_of_mass",382.9173428,"x"
"10","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","center_of_mass",558.1502105,"y"
"11","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","convex_hull_vertices",28,"none"
"12","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","object_in_frame",1,"none"
"13","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","ellipse_center",375.5860901,"x"
"14","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","ellipse_center",562.0093994,"y"
"15","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","ellipse_major_axis",396.7745361,"pixels"
"16","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","ellipse_minor_axis",335.7608337,"pixels"
"17","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","ellipse_angle",44.50539398,"degrees"
"18","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","ellipse_eccentricity",0.532824513,"none"
"19","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_mean_Fv/Fm",0.799603501,"none"
"20","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_median_Fv/Fm",0.803318796,"none"
"21","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_max_Fv/Fm",1,"none"
"22","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_mode_Fv/Fm",0.8,"none"
"23","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",0,"0"
"24","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",1,"0.01"
"25","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",0,"0.02"
"26","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9,"0.03"
"27","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.04"
"28","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.05"
"29","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2,"0.06"
"30","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2,"0.07"
"31","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2,"0.08"
"32","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.09"
"33","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.1"
"34","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.11"
"35","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",6,"0.12"
"36","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",6,"0.13"
"37","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4,"0.14"
"38","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",6,"0.15"
"39","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",5,"0.16"
"40","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2,"0.17"
"41","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4,"0.18"
"42","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.19"
